subject,feature,region,hemi,method,c_x,c_y,n_units_tuned
sub-25,pitch,temporal,,cca,1.0,0.0001,2
sub-25,pitch,frontal,,cca,1e-05,1e-05,2
sub-25,amplitude,MT,,cca,0.01,0.31622776601683794,1
sub-25,amplitude,STS,,cca,1.0,0.00031622776601683794,2
sub-25,amplitude,temporal,,cca,1e-05,1e-05,2
sub-25,amplitude,frontal,,cca,1e-05,0.0031622776601683794,2
sub-25,music,MT,,cca,0.1,0.0031622776601683794,1
sub-25,music,STS,,cca,1.0,1e-05,2
sub-25,music,temporal,,cca,1e-05,0.01,2
sub-25,music,frontal,,cca,1.0,0.0031622776601683794,2
sub-25,speaking,MT,,cca,0.0001,0.0001,1
sub-25,speaking,STS,,cca,1e-05,1.0,2
sub-25,speaking,temporal,,cca,1e-05,1.0,2
sub-25,speaking,frontal,,cca,1.0,0.01,2
sub-25,turn_taking,MT,,cca,1e-05,1.0,1
sub-25,turn_taking,STS,,cca,1e-05,0.001,2
sub-25,turn_taking,temporal,,cca,1e-05,0.0001,2
sub-25,turn_taking,frontal,,cca,1e-05,3.1622776601683795e-05,2
sub-25,mentalization,MT,,cca,0.01,0.0001,1
sub-25,mentalization,STS,,cca,1.0,0.1,2
sub-25,mentalization,temporal,,cca,1.0,1.0,2
sub-25,mentalization,frontal,,cca,1e-05,0.001,2
sub-25,written_text,MT,,cca,0.01,1e-05,1
sub-25,written_text,STS,,cca,1.0,1e-05,2
sub-25,written_text,temporal,,cca,1e-05,0.001,2
sub-25,written_text,frontal,,cca,1e-05,3.1622776601683795e-05,2
sub-26,pixel,MT,,cca,1.0,0.001,2
sub-26,pixel,STS,,cca,1.0,0.03162277660168379,2
sub-26,pixel,temporal,,cca,1.0,0.03162277660168379,2
sub-26,pixel,frontal,,cca,1.0,0.01,2
sub-26,hue,MT,,cca,1.0,0.00031622776601683794,2
sub-26,hue,STS,,cca,1e-05,3.1622776601683795e-05,2
sub-26,hue,temporal,,cca,1e-05,0.03162277660168379,2
sub-26,hue,frontal,,cca,1.0,3.1622776601683795e-05,2
sub-26,face,MT,,cca,1e-05,3.1622776601683795e-05,2
sub-26,face,STS,,cca,1.0,0.00031622776601683794,2
sub-26,face,temporal,,cca,1.0,0.01,2
sub-26,face,frontal,,cca,1.0,0.03162277660168379,2
sub-26,num_agents,MT,,cca,1e-05,0.0031622776601683794,2
sub-26,num_agents,STS,,cca,1.0,0.001,2
sub-26,num_agents,temporal,,cca,1.0,0.0031622776601683794,2
sub-26,num_agents,frontal,,cca,1e-05,0.31622776601683794,2
sub-26,social,MT,,cca,1e-05,3.1622776601683795e-05,2
sub-26,social,STS,,cca,1.0,0.1,2
sub-26,social,temporal,,cca,1.0,3.1622776601683795e-05,2
sub-26,social,frontal,,cca,1.0,0.0031622776601683794,2
sub-26,valence,MT,,cca,1e-05,0.001,2
sub-26,valence,STS,,cca,1.0,0.03162277660168379,2
sub-26,valence,temporal,,cca,0.31622776601683794,0.0001,2
sub-26,valence,frontal,,cca,1.0,0.001,2
sub-26,arousal,MT,,cca,1.0,0.1,2
sub-26,arousal,STS,,cca,1e-05,1e-05,2
sub-26,arousal,temporal,,cca,1e-05,1.0,2
sub-26,arousal,frontal,,cca,1e-05,0.0001,2
sub-26,pitch,MT,,cca,1e-05,0.00031622776601683794,2
sub-26,pitch,STS,,cca,1.0,0.00031622776601683794,2
sub-26,pitch,temporal,,cca,1.0,0.0031622776601683794,2
sub-26,pitch,frontal,,cca,1e-05,1e-05,2
sub-26,amplitude,MT,,cca,1.0,0.0001,2
sub-26,amplitude,STS,,cca,1.0,0.31622776601683794,2
sub-26,amplitude,temporal,,cca,1.0,0.01,2
sub-26,amplitude,frontal,,cca,1e-05,0.01,2
sub-26,music,MT,,cca,1.0,0.0001,2
sub-26,music,STS,,cca,1.0,0.01,2
sub-26,music,temporal,,cca,1.0,3.1622776601683795e-05,2
sub-26,music,frontal,,cca,1.0,3.1622776601683795e-05,2
sub-26,speaking,MT,,cca,1e-05,0.0031622776601683794,2
sub-26,speaking,STS,,cca,1.0,0.00031622776601683794,2
